Date,maxT,minT,prcpt,rDate,year,month,droughtThresh,droughtPeriod,periodCount,drought
5/01/77,5.1,1,8.4,1977-01-05,1977,Jan,0,End,,
7/01/77,4.3,0.2,0,1977-01-07,1977,Jan,1,Start,2,Not drought
9/01/77,5.3,3.4,10.2,1977-01-09,1977,Jan,0,End,,
12/01/77,-0.8,-5.5,0,1977-01-12,1977,Jan,1,Start,2,Not drought
14/01/77,1.3,-4.6,27.5,1977-01-14,1977,Jan,0,End,,
17/01/77,0.8,-8.7,0,1977-01-17,1977,Jan,1,Start,1,Not drought
18/01/77,-0.2,-7.9,1.6,1977-01-18,1977,Jan,0,End,,
24/01/77,5.3,1.5,0,1977-01-24,1977,Jan,1,Start,1,Not drought
25/01/77,7.4,3.4,11.1,1977-01-25,1977,Jan,0,End,,
29/01/77,2.9,-3.3,0,1977-01-29,1977,Jan,1,Start,3,Not drought
1/02/77,2.2,-2.8,10.7,1977-02-01,1977,Feb,0,End,,
15/02/77,4,1.3,0,1977-02-15,1977,Feb,1,Start,1,Not drought
16/02/77,3.4,0.1,5.3,1977-02-16,1977,Feb,0,End,,
27/02/77,1,-7.2,0,1977-02-27,1977,Feb,1,Start,2,Not drought
1/03/77,1.8,-4.4,11.6,1977-03-01,1977,Mar,0,End,,
4/03/77,9.6,4.5,0,1977-03-04,1977,Mar,1,Start,2,Not drought
6/03/77,9.4,0.4,0.5,1977-03-06,1977,Mar,0,End,,
7/03/77,7.4,3.6,0,1977-03-07,1977,Mar,1,Start,1,Not drought
8/03/77,9.3,4,0.7,1977-03-08,1977,Mar,0,End,,
9/03/77,9.2,5.3,0,1977-03-09,1977,Mar,1,Start,1,Not drought
10/03/77,12.8,2.6,4.6,1977-03-10,1977,Mar,0,End,,
24/03/77,6.9,2.5,0,1977-03-24,1977,Mar,1,Start,3,Not drought
27/03/77,5,1.5,9.3,1977-03-27,1977,Mar,0,End,,
30/03/77,3.2,-2,0,1977-03-30,1977,Mar,1,Start,1,Not drought
31/03/77,5,-0.8,2.5,1977-03-31,1977,Mar,0,End,,
16/04/77,8,-0.1,0,1977-04-16,1977,Apr,1,Start,3,Not drought
19/04/77,6.5,-0.2,0.5,1977-04-19,1977,Apr,0,End,,
1/05/77,9.3,3.8,0,1977-05-01,1977,May,1,Start,1,Not drought
2/05/77,10.5,4.6,1.7,1977-05-02,1977,May,0,End,,
5/05/77,9.1,5.3,0,1977-05-05,1977,May,1,Start,2,Not drought
7/05/77,9.5,3.4,2,1977-05-07,1977,May,0,End,,
17/05/77,10.5,2.4,0,1977-05-17,1977,May,1,Start,19,Drought start
5/06/77,14.6,13.56,2.6,1977-06-05,1977,Jun,0,End,,
15/06/77,14.1,13.06,0,1977-06-15,1977,Jun,1,Start,10,Not drought
25/06/77,21.1,20.06,0.6,1977-06-25,1977,Jun,0,End,,
26/06/77,17.9,16.86,0,1977-06-26,1977,Jun,1,Start,2,Not drought
28/06/77,15,13.96,4.4,1977-06-28,1977,Jun,0,End,,
3/07/77,22.5,21.165,0,1977-07-03,1977,Jul,1,Start,11,Not drought
14/07/77,14.9,13.565,0.2,1977-07-14,1977,Jul,0,End,,
15/07/77,16.1,14.765,0,1977-07-15,1977,Jul,1,Start,3,Not drought
18/07/77,16.6,15.265,6.8,1977-07-18,1977,Jul,0,End,,
22/07/77,16,14.665,0,1977-07-22,1977,Jul,1,Start,1,Not drought
23/07/77,18.8,17.465,1.4,1977-07-23,1977,Jul,0,End,,
28/07/77,14.4,13.065,0,1977-07-28,1977,Jul,1,Start,3,Not drought
31/07/77,18.1,16.765,0.3,1977-07-31,1977,Jul,0,End,,
1/08/77,19.75,11.2,0,1977-08-01,1977,Aug,1,Start,4,Not drought
5/08/77,20.2,11.3,5.3,1977-08-05,1977,Aug,0,End,,
8/08/77,15.4,10.4,0,1977-08-08,1977,Aug,1,Start,7,Not drought
15/08/77,17.3,13.9,8.3,1977-08-15,1977,Aug,0,End,,
17/08/77,18.1,11.9,0,1977-08-17,1977,Aug,1,Start,2,Not drought
19/08/77,16.4,10.5,7,1977-08-19,1977,Aug,0,End,,
23/08/77,16.7,5.3,0,1977-08-23,1977,Aug,1,Start,2,Not drought
25/08/77,14.1,11.3,10.2,1977-08-25,1977,Aug,0,End,,
27/08/77,16.9,6.4,0,1977-08-27,1977,Aug,1,Start,3,Not drought
30/08/77,16.3,12.2,5.7,1977-08-30,1977,Aug,0,End,,
1/09/77,17,9,0,1977-09-01,1977,Sep,1,Start,1,Not drought
2/09/77,17.2,10.6,2.8,1977-09-02,1977,Sep,0,End,,
4/09/77,14.9,6.3,0,1977-09-04,1977,Sep,1,Start,1,Not drought
5/09/77,13.3,10,8.3,1977-09-05,1977,Sep,0,End,,
8/09/77,12.7,6.4,0,1977-09-08,1977,Sep,1,Start,1,Not drought
9/09/77,13.8,4.4,8.3,1977-09-09,1977,Sep,0,End,,
13/09/77,13.7,3,0,1977-09-13,1977,Sep,1,Start,2,Not drought
15/09/77,15.7,10.5,0.2,1977-09-15,1977,Sep,0,End,,
17/09/77,11,6.1,0,1977-09-17,1977,Sep,1,Start,4,Not drought
21/09/77,9.4,7.4,0.3,1977-09-21,1977,Sep,0,End,,
23/09/77,10.6,7.7,0,1977-09-23,1977,Sep,1,Start,2,Not drought
25/09/77,14.3,10.2,2.4,1977-09-25,1977,Sep,0,End,,
8/10/77,12.3,3.3,0,1977-10-08,1977,Oct,1,Start,1,Not drought
9/10/77,10.1,6.8,3.4,1977-10-09,1977,Oct,0,End,,
11/10/77,10.2,1,0,1977-10-11,1977,Oct,1,Start,1,Not drought
12/10/77,12.5,4,3.6,1977-10-12,1977,Oct,0,End,,
13/10/77,12.2,6.6,0,1977-10-13,1977,Oct,1,Start,6,Not drought
19/10/77,13.6,9,0.4,1977-10-19,1977,Oct,0,End,,
26/10/77,11.5,6.4,0,1977-10-26,1977,Oct,1,Start,2,Not drought
28/10/77,11.8,4.2,2.9,1977-10-28,1977,Oct,0,End,,
29/10/77,12.2,5.5,0,1977-10-29,1977,Oct,1,Start,2,Not drought
31/10/77,11.8,5.2,9.8,1977-10-31,1977,Oct,0,End,,
18/11/77,5.7,-0.5,0,1977-11-18,1977,Nov,1,Start,1,Not drought
19/11/77,4.6,-0.4,4.3,1977-11-19,1977,Nov,0,End,,
21/11/77,3.4,-1.4,0,1977-11-21,1977,Nov,1,Start,1,Not drought
22/11/77,2.5,-0.8,6,1977-11-22,1977,Nov,0,End,,
26/11/77,3.6,0,0,1977-11-26,1977,Nov,1,Start,1,Not drought
27/11/77,4.2,-1.6,0.3,1977-11-27,1977,Nov,0,End,,
29/11/77,2.8,-4.6,0,1977-11-29,1977,Nov,1,Start,2,Not drought
1/12/77,4.1,-0.9,2.8,1977-12-01,1977,Dec,0,End,,
3/12/77,2.4,-2,0,1977-12-03,1977,Dec,1,Start,3,Not drought
6/12/77,2.8,0.2,0.3,1977-12-06,1977,Dec,0,End,,
15/12/77,7.6,4.4,0,1977-12-15,1977,Dec,1,Start,2,Not drought
17/12/77,5.1,4.2,0.5,1977-12-17,1977,Dec,0,End,,
21/12/77,3.5,0.3,0,1977-12-21,1977,Dec,1,Start,1,Not drought
22/12/77,7.4,0.3,5.4,1977-12-22,1977,Dec,0,End,,
29/12/77,2.7,0.3,0,1977-12-29,1977,Dec,1,Start,1,Not drought
30/12/77,6.3,1.9,3.4,1977-12-30,1977,Dec,0,End,,
6/01/78,6.5,2.1,0,1978-01-06,1978,Jan,1,Start,3,Not drought
9/01/78,6.4,2.4,8.2,1978-01-09,1978,Jan,0,End,,
13/01/78,2.8,-3.9,0,1978-01-13,1978,Jan,1,Start,3,Not drought
16/01/78,5.8,0.3,1,1978-01-16,1978,Jan,0,End,,
18/01/78,0.2,-3.5,0,1978-01-18,1978,Jan,1,Start,1,Not drought
19/01/78,0.6,-3.6,12.3,1978-01-19,1978,Jan,0,End,,
8/02/78,3.6,-0.9,0,1978-02-08,1978,Feb,1,Start,1,Not drought
9/02/78,0.8,-4.2,6.8,1978-02-09,1978,Feb,0,End,,
14/02/78,1.9,-3.1,0,1978-02-14,1978,Feb,1,Start,7,Not drought
21/02/78,-1.6,-5.4,0.7,1978-02-21,1978,Feb,0,End,,
4/03/78,7.5,-0.8,0,1978-03-04,1978,Mar,1,Start,4,Not drought
8/03/78,8.4,4,3.4,1978-03-08,1978,Mar,0,End,,
11/03/78,13.8,7.5,0,1978-03-11,1978,Mar,1,Start,3,Not drought
14/03/78,7.3,2.2,10.4,1978-03-14,1978,Mar,0,End,,
19/03/78,5.5,1.1,0,1978-03-19,1978,Mar,1,Start,1,Not drought
20/03/78,7.5,2.3,19.5,1978-03-20,1978,Mar,0,End,,
28/03/78,10.2,5,0,1978-03-28,1978,Mar,1,Start,1,Not drought
29/03/78,10.1,4.3,3.8,1978-03-29,1978,Mar,0,End,,
3/04/78,10.5,3.8,0,1978-04-03,1978,Apr,1,Start,7,Not drought
10/04/78,6,-2.4,5.9,1978-04-10,1978,Apr,0,End,,
16/04/78,6.8,1.6,0,1978-04-16,1978,Apr,1,Start,2,Not drought
18/04/78,11.7,2.6,1.2,1978-04-18,1978,Apr,0,End,,
23/04/78,11,6.4,0,1978-04-23,1978,Apr,1,Start,3,Not drought
26/04/78,6.6,1.6,0.3,1978-04-26,1978,Apr,0,End,,
28/04/78,4.3,-0.7,0,1978-04-28,1978,Apr,1,Start,3,Not drought
1/05/78,5.2,4,1,1978-05-01,1978,May,0,End,,
2/05/78,5.3,3.6,0,1978-05-02,1978,May,1,Start,1,Not drought
3/05/78,7,4,0.9,1978-05-03,1978,May,0,End,,
7/05/78,12.6,6.6,0,1978-05-07,1978,May,1,Start,5,Not drought
12/05/78,15.3,4,3.6,1978-05-12,1978,May,0,End,,
15/05/78,10.7,4.4,0,1978-05-15,1978,May,1,Start,1,Not drought
16/05/78,13.5,4.9,2.6,1978-05-16,1978,May,0,End,,
18/05/78,18.8,4.5,0,1978-05-18,1978,May,1,Start,7,Not drought
25/05/78,11.3,3.6,0.6,1978-05-25,1978,May,0,End,,
26/05/78,17.3,4,0,1978-05-26,1978,May,1,Start,7,Not drought
2/06/78,24.6,11.4,3.6,1978-06-02,1978,Jun,0,End,,
3/06/78,22.3,10.3,0,1978-06-03,1978,Jun,1,Start,2,Not drought
5/06/78,23.3,10.8,10.3,1978-06-05,1978,Jun,0,End,,
9/06/78,12.4,7.7,0,1978-06-09,1978,Jun,1,Start,7,Not drought
16/06/78,12.6,7.1,15.8,1978-06-16,1978,Jun,0,End,,
18/06/78,17.2,4.4,0,1978-06-18,1978,Jun,1,Start,4,Not drought
22/06/78,12.6,8.4,11.4,1978-06-22,1978,Jun,0,End,,
27/06/78,10.8,5.8,0,1978-06-27,1978,Jun,1,Start,1,Not drought
28/06/78,12.7,7.8,3.1,1978-06-28,1978,Jun,0,End,,
7/07/78,13.3,8.4,0,1978-07-07,1978,Jul,1,Start,1,Not drought
8/07/78,13.1,8.9,10.4,1978-07-08,1978,Jul,0,End,,
10/07/78,15.2,4.8,0,1978-07-10,1978,Jul,1,Start,9,Not drought
19/07/78,17,10.6,0.2,1978-07-19,1978,Jul,0,End,,
22/07/78,15.5,9.4,0,1978-07-22,1978,Jul,1,Start,1,Not drought
23/07/78,17.9,12.6,7.4,1978-07-23,1978,Jul,0,End,,
25/07/78,15.3,8.3,0,1978-07-25,1978,Jul,1,Start,1,Not drought
26/07/78,17.5,11,8.8,1978-07-26,1978,Jul,0,End,,
29/07/78,20.2,9.1,0,1978-07-29,1978,Jul,1,Start,1,Not drought
30/07/78,22.3,11.6,2.5,1978-07-30,1978,Jul,0,End,,
2/08/78,14.8,12,0,1978-08-02,1978,Aug,1,Start,1,Not drought
3/08/78,17,12,2.8,1978-08-03,1978,Aug,0,End,,
11/08/78,17.1,6.6,0,1978-08-11,1978,Aug,1,Start,2,Not drought
13/08/78,16.3,11.1,3.9,1978-08-13,1978,Aug,0,End,,
18/08/78,16.2,9,0,1978-08-18,1978,Aug,1,Start,3,Not drought
